track_id,title,artist_name,tempo,time_signature,key,mode,valence,energy,danceability
track_0,Song 0,Artist 103,140.59313541963877,4,3,1,0.29379340836562123,0.9688500241845166,0.7363441182265414
track_1,Song 1,Artist 436,77.65614513255748,3,1,0,0.05329267765144252,0.3127230461750027,1.0
track_2,Song 2,Artist 349,141.44101384628675,6,4,0,0.5036586984607068,0.9719652728183406,0.0
track_3,Song 3,Artist 271,167.2886098346513,3,10,0,0.18168218057579352,0.9880388737147678,1.0
track_4,Song 4,Artist 107,116.89831512036261,4,7,0,0.16100072801932228,0.8170290695175374,0.7363441182265414
track_5,Song 5,Artist 72,183.1772847118055,3,11,1,0.3842793539244466,0.9222104292217528,1.0
track_6,Song 6,Artist 189,150.81561347003102,6,1,1,0.3616937598038586,0.9954944377837839,0.0
track_7,Song 7,Artist 21,185.89484856048836,3,8,1,0.8670178237604974,0.9052844036805282,1.0
track_8,Song 8,Artist 103,147.29074357462721,3,6,1,0.564605204590487,0.9890022248156497,1.0
track_9,Song 9,Artist 122,78.38031608067539,4,5,0,0.854623624880446,0.324547836036847,0.7363441182265414
track_10,Song 10,Artist 467,103.35683955472648,6,7,1,0.14667700261528113,0.6763828805707205,0.0
track_11,Song 11,Artist 215,88.25129275534397,4,1,1,0.3572155129437872,0.4769945363398625,0.7363441182265414
track_12,Song 12,Artist 331,187.23570968036074,4,4,0,0.5552949738231889,0.8963329257534194,0.7363441182265414
track_13,Song 13,Artist 459,166.45600942024757,6,3,1,0.15297132809066324,0.9899089412392964,0.0
track_14,Song 14,Artist 88,154.69577164740085,3,7,0,0.12789271412538222,0.9993472811679955,1.0
track_15,Song 15,Artist 373,102.13528474842704,4,0,1,0.6613991550231832,0.6618747733988349,0.7363441182265414
track_16,Song 16,Artist 100,85.76626808702989,3,11,1,0.6538292302868959,0.44018739651137173,1.0
track_17,Song 17,Artist 360,165.90315231844767,6,2,1,0.23402652146905106,0.9910631026201852,0.0
track_18,Song 18,Artist 152,126.38211242307115,4,9,0,0.22698927715283673,0.8926064215037658,0.7363441182265414
track_19,Song 19,Artist 131,91.61053730108807,3,7,1,0.7454688496872262,0.52500454975175,1.0
track_20,Song 20,Artist 150,146.3270769431385,3,4,1,0.116820126900523,0.9867324793623558,1.0
track_21,Song 21,Artist 309,65.64673929938327,4,3,0,0.9233405476953914,0.10479934827694302,0.7363441182265414
track_22,Song 22,Artist 258,105.6638355779555,6,5,1,0.9438217877242407,0.7029774851049637,0.0
track_23,Song 23,Artist 344,125.59797924275885,3,11,1,0.8710535060699429,0.8870958122958532,1.0
track_24,Song 24,Artist 492,80.71416677531681,6,4,0,0.21053802810074979,0.36207480464622577,0.0
